CLIENT,GUID,OBJECT_ID,PROCESS_TYPE,POSTING_DATE,DESCRIPTION,DESCR_LANGUAGE,LOGICAL_SYSTEM,CRM_RELEASE,SCENARIO,TEMPLATE_TYPE,CREATED_AT,CREATED_BY,CHANGED_AT,CHANGED_BY,HEAD_CHANGED_AT,ORDERADM_H_DUMMY,ZZAFLD000000,ZZAFLD000003,ZZPARENT_LOC_ID,ZZUNIQUE,ZZAFLD000005,ZZAFLD00000E,ZZAFLD00001H,ZZREZERV_AMACI,ZZNET_DEGER,INPUT_CHANNEL,BTX_CLASS,AUTH_SCOPE,COMP_TX_HEADER,OBJECT_TYPE,ARCHIVING_FLAG,DESCRIPTION_UC,OBJECT_ID_OK,VERIFY_DATE,CRM_CHANGED_AT,POSTPROCESS_AT
100,026FDF53DFF31ED791D9B803B5FFC314,8000161767,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,524",4015,"20,170,607,082,921",4015,"20,170,607,082,921",,,,0,,02,6/7/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,607,082,921",0
100,026FDF53DFF31ED791D9BCBAFF612318,0000277888,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,647",4015,"20,170,601,132,651",4015,"20,170,601,132,651",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,132,651",0
100,026FDF53DFF31ED791D9C0F3D3F1631B,0000277889,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,737",4015,"20,170,601,132,740",4015,"20,170,601,132,740",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,132,740",0
100,026FDF53DFF31ED791D9C129CB5BC31B,8000161769,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,737",4015,"20,170,606,140,703",4015,"20,170,606,140,703",,,,0,,02,6/6/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,606,140,703",0
100,026FDF53DFF31ED791D9D2047FA52343,0000277890,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,301",4015,"20,170,601,133,304",4015,"20,170,601,133,304",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,133,304",0
100,026FDF53DFF31ED791D9DED2FD6CA34E,0000277891,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,449",4015,"20,170,601,133,453",4015,"20,170,601,133,453",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,133,453",0
100,026FDF53DFF31ED791D9DFB42ABA434E,8000161771,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,450",4015,"20,170,606,135,247",4015,"20,170,606,135,247",,,,0,,01,6/6/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,606,135,247",0
100,026FDF53DFF31ED791D9E6F0955C436E,0000277893,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,615",4280,"20,170,601,133,618",4280,"20,170,601,133,618",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,133,618",0
100,026FDF53DFF31ED791D9E71B3345A36E,0000277892,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,614",4015,"20,170,601,133,617",4015,"20,170,601,133,617",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,133,617",0
100,026FDF53DFF31ED791D9E7827449036E,8000161772,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,614",4015,"20,170,606,142,635",4015,"20,170,606,142,635",,,,0,,02,6/6/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,606,142,635",0
100,026FDF53DFF31ED791D9E7F0FFBD036F,8000161773,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,615",4280,"20,170,606,121,001",4280,"20,170,606,121,001",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,606,121,001",0
100,026FDF53DFF31ED791D9EBB4EADD6372,0000277895,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,717",4280,"20,170,601,133,721",4280,"20,170,601,133,721",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,133,721",0
100,026FDF53DFF31ED791D9EBED35D70372,8000161775,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,717",4280,"20,170,606,121,356",4280,"20,170,606,121,356",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,606,121,356",0
100,026FDF53DFF31ED791D9F1AF8627E376,0000277896,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,839",4280,"20,170,601,133,841",4280,"20,170,601,133,841",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,133,841",0
100,026FDF53DFF31ED791D9F28C57A10378,8000161776,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,839",4280,"20,170,609,114,418",4280,"20,170,609,114,418",,,,0,,02,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,609,114,418",0
100,026FDF53DFF31ED791D9F62088340379,0000277897,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,934",4280,"20,170,601,133,937",4280,"20,170,601,133,937",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,133,937",0
100,026FDF53DFF31ED791D9F65CE702437B,8000161777,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,935",4280,"20,170,619,121,737",ATEKIN,"20,170,619,121,737",,,,0,,02,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,619,121,737",0
100,026FDF53DFF31ED791D9FA9C3001639A,0000277898,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,036",4280,"20,170,601,134,039",4280,"20,170,601,134,039",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,134,039",0
100,026FDF53DFF31ED791D9FAE2D41C439C,8000161778,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,036",4280,"20,170,605,135,137",4280,"20,170,605,135,137",,,,0,,02,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,605,135,137",0
100,026FDF53DFF31ED791DA01749FCDE39F,0000277900,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,208",4280,"20,170,601,134,210",4280,"20,170,601,134,210",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,134,210",0
100,026FDF53DFF31ED791DA01B5CB07C39F,8000161779,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,208",4280,"20,170,617,155,907",4280,"20,170,617,155,907",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,617,155,907",0
100,026FDF53DFF31ED791DA05FF2D8343A2,0000277901,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,259",4280,"20,170,601,134,303",4280,"20,170,601,134,303",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,134,303",0
100,026FDF53DFF31ED791DA064DF315C3A2,8000161780,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,259",4280,"20,170,606,114,746",4280,"20,170,606,114,746",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,606,114,746",0
100,026FDF53DFF31ED791DA0A2085BCE3A5,0000277902,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,401",4280,"20,170,601,134,404",4280,"20,170,601,134,404",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,134,404",0
100,026FDF53DFF31ED791DA0A48698543A5,8000161781,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,401",4280,"20,170,612,140,910",4280,"20,170,612,140,910",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,612,140,910",0
100,026FDF53DFF31ED791DA0FF07C4FE3CD,0000277903,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,614",4015,"20,170,601,134,614",4015,"20,170,601,134,614",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,134,614",0
100,026FDF53DFF31ED791DA14CD4CF1C3D1,8000161782,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,614",4015,"20,170,602,134,325",4015,"20,170,602,134,325",,,,0,,01,6/2/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,602,134,325",0
100,026FDF53DFF31ED791DA15CF1CBAE3D3,0000277904,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,817",4280,"20,170,601,134,821",4280,"20,170,601,134,821",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,134,821",0
100,026FDF53DFF31ED791DA1CAEB9B883D6,8000161783,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,817",4280,"20,170,606,112,009",4280,"20,170,606,112,009",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,606,112,009",0
100,026FDF53DFF31ED791DA4EE05BFEA443,0000277905,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,135,927",4280,"20,170,601,135,930",4280,"20,170,601,135,930",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,135,930",0
100,026FDF53DFF31ED791DA4F0BEB39C443,8000161784,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,135,927",4280,"20,170,605,122,922",4280,"20,170,605,122,922",,,,0,,02,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,605,122,922",0
100,026FDF53DFF31ED791DA642D21E32476,0000277906,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,140,402",4280,"20,170,601,140,406",4280,"20,170,601,140,406",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,140,406",0
100,026FDF53DFF31ED791DA642D21EC8476,8000161785,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,140,402",4280,"20,170,605,122,316",4280,"20,170,605,122,316",,,,0,,02,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,605,122,316",0
100,026FDF53DFF31ED791DA962DA2866507,0000277907,Z010,6/1/2017,Yeni kapi kumla seferlerinizi bekliyoruz,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,141,826",4280,"20,170,601,141,832",4280,"20,170,601,141,832",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,YENI KAPI KUMLA SEFERLERINIZI BEKLIYORUZ,X,0,"20,170,601,141,832",0
100,026FDF53DFF31ED791DA9F8B8739450D,8000161786,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,141,826",4280,"20,170,601,141,826",4280,"20,170,601,141,826",,,,0,,03,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,601,141,826",0
100,026FDF53DFF31ED791DAC37B945E2561,0000277908,Z010,6/1/2017,Ek sefer,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,143,104",4280,"20,170,601,143,110",4280,"20,170,601,143,110",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,EK SEFER,X,0,"20,170,601,143,110",0
100,026FDF53DFF31ED791DAC5B85B444563,8000161787,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,143,104",4280,"20,170,601,143,104",4280,"20,170,601,143,104",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,143,104",0
100,026FDF53DFF31ED791DAE79FA8F3E5A1,0000277909,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,143,411",4280,"20,170,601,143,429",4280,"20,170,601,143,429",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,143,429",0
100,026FDF53DFF31ED791DAEB0B520EE5A2,8000161788,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,143,411",4280,"20,170,601,143,727",4280,"20,170,601,143,727",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,143,727",0
100,026FDF53DFF31ED791DB0194F7D7A5CE,0000277910,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,143,923",4280,"20,170,601,143,923",4280,"20,170,601,143,923",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,143,923",0
100,026FDF53DFF31EE791D14660A1393041,0000277794,Z010,6/1/2017,İade,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,326",4015,"20,170,601,052,329",4015,"20,170,601,052,329",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,İADE,X,0,"20,170,601,052,329",0
100,026FDF53DFF31EE791D14D8217AA5049,8000161697,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,326",4015,"20,170,601,095,827",4015,"20,170,601,095,827",,,,0,,02,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,095,827",0
100,026FDF53DFF31EE791D151FE50BDB04E,0000277795,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,455",4015,"20,170,601,052,458",4015,"20,170,601,052,458",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,052,458",0
100,026FDF53DFF31EE791D1542C037A104E,8000161698,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,455",4015,"20,170,601,092,120",4015,"20,170,601,092,120",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,092,120",0
100,026FDF53DFF31EE791D15A6C15913077,0000277796,Z010,6/1/2017,KLİMALAR,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,635",4015,"20,170,601,052,638",4015,"20,170,601,052,638",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,KLİMALAR,X,0,"20,170,601,052,638",0
100,026FDF53DFF31EE791D15B558A48D077,8000161699,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,635",4015,"20,170,601,085,348",4015,"20,170,601,085,348",,SB,,0,23,,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,085,348",0
100,026FDF53DFF31EE791D15F7C4996F07A,0000277797,Z010,6/1/2017,Milpuan,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,756",4680,"20,170,601,052,759",4680,"20,170,601,052,759",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,MILPUAN,X,0,"20,170,601,052,759",0
100,026FDF53DFF31EE791D160B33D88F07A,0000277798,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,822",4015,"20,170,601,052,826",4015,"20,170,601,052,826",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,052,826",0
100,026FDF53DFF31EE791D16155F6E2B07A,8000161700,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,756",4680,"20,170,601,070,158",4680,"20,170,601,070,158",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,070,158",0
100,026FDF53DFF31EE791D16335285B107B,8000161701,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,822",4015,"20,170,601,084,843",4015,"20,170,601,084,843",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,084,843",0
100,026FDF53DFF31EE791D167454B7B707E,0000277799,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,948",4680,"20,170,601,052,950",4680,"20,170,601,052,950",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,052,950",0
100,026FDF53DFF31EE791D16A01615CD080,8000161702,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,052,948",4680,"20,170,601,070,028",4680,"20,170,601,070,028",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,070,028",0
100,026FDF53DFF31EE791D16CBABDE6709D,0000277800,Z010,6/1/2017,Üyelik Bilgileri Değişikliği,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,053,101",4015,"20,170,601,053,104",4015,"20,170,601,053,104",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,ÜYELIK BILGILERI DEĞIŞIKLIĞI,X,0,"20,170,601,053,104",0
100,026FDF53DFF31EE791D16EF296C1909D,8000161703,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,053,101",4015,"20,170,610,141,643",4015,"20,170,610,141,643",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,610,141,643",0
100,026FDF53DFF31EE791D175009E6770A1,0000277801,Z010,6/1/2017,Yaz saati uygulaması,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,053,246",4680,"20,170,601,053,248",4680,"20,170,601,053,248",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,YAZ SAATI UYGULAMASI,X,0,"20,170,601,053,248",0
100,026FDF53DFF31EE791D177273BA110A4,8000161704,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,053,246",4680,"20,170,601,064,223",4680,"20,170,601,064,223",,SB,500102,0,67,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,064,223",0
100,026FDF53DFF31EE791D17A3180C6F0A7,0000277802,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,053,352",4015,"20,170,601,053,356",4015,"20,170,601,053,356",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,053,356",0
100,026FDF53DFF31EE791D17C3B668510A7,8000161705,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,053,353",4015,"20,170,601,072,648",4015,"20,170,601,072,648",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,072,648",0
100,026FDF53DFF31EE791D188D9D1C3F0D4,0000277803,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,053,727",4015,"20,170,601,053,729",4015,"20,170,601,053,729",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,053,729",0
100,026FDF53DFF31EE791D1996DF4BFF10A,0000277804,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,054,104",4015,"20,170,601,054,106",4015,"20,170,601,054,106",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,054,106",0
